Questions,Stair.thisTrialN,Stair.stepSize,Stair.intensity,Stair2.thisTrialN,Stair2.stepSize,Stair2.intensity,controlQ.thisRepN,controlQ.thisTrialN,controlQ.thisN,controlQ.thisIndex,Qs.thisRepN,Qs.thisTrialN,Qs.thisN,Qs.thisIndex,cueOri,targetXOri,targetXPos,CorrectAns,Stair.response,keyPress.rt,keyPress.rl,cueExoPos,Stair2.response,keyPress_2.rt,keyPress_2.rl,key_start.keys,key_start.rt,Quest_Ans.response,Quest_Ans.rt,Session,Participant,date,expName,psychopyVersion,frameRate,
,,,,56,1,71,,,,,,,,,,90,-4.6,left,,,,4.6,1,0.8686893,left,,,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
,,,,,,,,,,,,,,,,,,,,,,,,,,space,7.4907323,,,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
My state (body feelings, emotions and thoughts) during the task on the computer was similar to the state I had during my music performance.,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,3,18.983,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898
My attention was focused entirely on what I was doing.,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,2,5.968,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
I felt that I had everything under control.,,,,,,,,,,,0,1,1,13,,,,,,,,,,,,,,2,5.895,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
I had total concentration.,,,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,4,4.169,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
I was not concerned with how I was presenting myself.,,,,,,,,,,,0,3,3,15,,,,,,,,,,,,,,2,4.33,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
I had a good idea while I was performing about how well I was doing.,,,,,,,,,,,0,4,4,8,,,,,,,,,,,,,,2,2.952,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
I knew what I want to achieve.,,,,,,,,,,,0,5,5,1,,,,,,,,,,,,,,2,1.364,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
I felt as though I had everything under control.,,,,,,,,,,,0,6,6,12,,,,,,,,,,,,,,2,2.512,1,151,2019_Apr_03_1600,Flow_endo_post,3.0.5,59.92864898,
